x,y,z,label
-0.6250,0.7227,0.2773,lean_left
-0.6133,0.7148,0.2578,lean_left
-0.6367,0.7305,0.2773,lean_left
-0.6055,0.7305,0.2695,lean_left
-0.6289,0.7305,0.2852,lean_left
-0.6211,0.7266,0.2891,lean_left
-0.6172,0.7227,0.2773,lean_left
-0.6328,0.7188,0.2891,lean_left
-0.6289,0.7109,0.2813,lean_left
-0.6367,0.7109,0.2969,lean_left
-0.6523,0.6953,0.2969,lean_left
-0.6563,0.7031,0.3008,lean_left
-0.6484,0.7031,0.2969,lean_left
-0.6523,0.6992,0.2930,lean_left
-0.6406,0.7031,0.2891,lean_left
-0.6484,0.7109,0.3008,lean_left
-0.6484,0.7109,0.2930,lean_left
-0.6523,0.6992,0.2852,lean_left
-0.6445,0.6992,0.2930,lean_left
-0.6523,0.6953,0.2930,lean_left
-0.6445,0.7031,0.2852,lean_left
-0.6484,0.6953,0.3008,lean_left
-0.6563,0.6758,0.2891,lean_left
-0.6563,0.7031,0.3008,lean_left
-0.6523,0.7031,0.3008,lean_left
-0.6406,0.6914,0.2930,lean_left
-0.6641,0.6992,0.2852,lean_left
-0.6328,0.6602,0.2695,lean_left
-0.6250,0.7227,0.3047,lean_left
-0.6250,0.6992,0.3008,lean_left
-0.6328,0.7148,0.3320,lean_left
-0.6211,0.7148,0.3125,lean_left
-0.6133,0.7109,0.3125,lean_left
-0.6211,0.7227,0.3203,lean_left
-0.6133,0.7188,0.3281,lean_left
-0.6250,0.7031,0.3164,lean_left
-0.6328,0.6836,0.3086,lean_left
-0.6289,0.6797,0.3164,lean_left
-0.6328,0.6953,0.3203,lean_left
-0.6367,0.6992,0.3281,lean_left
-0.6367,0.6953,0.3203,lean_left
-0.6367,0.6992,0.3242,lean_left
-0.6484,0.6875,0.3320,lean_left
-0.6445,0.6836,0.3281,lean_left
-0.6445,0.6875,0.3320,lean_left
-0.6523,0.6914,0.3281,lean_left
-0.6523,0.6875,0.3281,lean_left
-0.6406,0.6875,0.3320,lean_left
-0.6445,0.6875,0.3281,lean_left
-0.6641,0.6914,0.3438,lean_left
-0.6602,0.6680,0.3281,lean_left
-0.6758,0.6680,0.3320,lean_left
-0.6563,0.6758,0.3242,lean_left
-0.6523,0.7031,0.3242,lean_left
-0.6523,0.6758,0.3281,lean_left
-0.6445,0.6523,0.3203,lean_left
