X,Y,Z,label
-0.6133,-0.5898,0.4922,lean_right
-0.6172,-0.5820,0.4922,lean_right
-0.6211,-0.5898,0.4961,lean_right
-0.6211,-0.5859,0.5000,lean_right
-0.6094,-0.5977,0.4922,lean_right
-0.6016,-0.5898,0.4648,lean_right
-0.6211,-0.5938,0.4648,lean_right
-0.6250,-0.5938,0.4805,lean_right
-0.6172,-0.5977,0.4844,lean_right
-0.6523,-0.5703,0.4883,lean_right
-0.6250,-0.5938,0.4922,lean_right
-0.6250,-0.6016,0.4805,lean_right
-0.6250,-0.5977,0.4766,lean_right
-0.6250,-0.5977,0.4805,lean_right
-0.6289,-0.5938,0.4688,lean_right
-0.6289,-0.6016,0.4766,lean_right
-0.6172,-0.6016,0.4766,lean_right
-0.6289,-0.5938,0.4844,lean_right
-0.6250,-0.5977,0.4766,lean_right
-0.6250,-0.5938,0.4766,lean_right
-0.6328,-0.5820,0.5039,lean_right
-0.6250,-0.5820,0.4883,lean_right
-0.6289,-0.5781,0.4844,lean_right
-0.6328,-0.5820,0.4922,lean_right
-0.6328,-0.5898,0.5039,lean_right
-0.6133,-0.5977,0.4766,lean_right
-0.6250,-0.5898,0.5000,lean_right
-0.6211,-0.5820,0.4922,lean_right
-0.6289,-0.5859,0.4844,lean_right
-0.6250,-0.5938,0.4805,lean_right
-0.6289,-0.5820,0.4883,lean_right
-0.6172,-0.5859,0.4922,lean_right
-0.6172,-0.5938,0.4922,lean_right
-0.6172,-0.5898,0.4844,lean_right
-0.6211,-0.5898,0.4922,lean_right
-0.6250,-0.5820,0.5000,lean_right
-0.6094,-0.5977,0.5078,lean_right
-0.6016,-0.5938,0.4961,lean_right
-0.6094,-0.5977,0.5039,lean_right
-0.6016,-0.5898,0.4961,lean_right
-0.6055,-0.5938,0.5000,lean_right
-0.6016,-0.5977,0.5000,lean_right
-0.6133,-0.5859,0.4883,lean_right
-0.6094,-0.5938,0.5078,lean_right
-0.6055,-0.6055,0.5000,lean_right
-0.5977,-0.6094,0.4961,lean_right
-0.6016,-0.5938,0.5000,lean_right
-0.6016,-0.6055,0.4961,lean_right
-0.6055,-0.5898,0.4883,lean_right
-0.6094,-0.5938,0.4922,lean_right
-0.6094,-0.5938,0.5117,lean_right
-0.6055,-0.6016,0.5000,lean_right
-0.6016,-0.5938,0.4961,lean_right
-0.6016,-0.6016,0.4961,lean_right
-0.6016,-0.6016,0.5000,lean_right
