X,Y,Z,label
-0.2187,0.0039,0.9219,slouching
-0.2266,0.0078,0.9141,slouching
-0.2305,0.0273,0.9219,slouching
-0.2344,0.0156,0.9141,slouching
-0.2266,0.0039,0.9258,slouching
-0.2227,0.0039,0.9141,slouching
-0.2148,0.0039,0.9141,slouching
-0.2266,0.0195,0.9219,slouching
-0.2227,0.0078,0.9141,slouching
-0.2344,0.0195,0.9180,slouching
-0.2109,0.0039,0.9258,slouching
-0.2266,0.0117,0.9219,slouching
-0.2187,0.0078,0.9219,slouching
-0.2187,0.0039,0.9180,slouching
-0.2266,0.0078,0.9141,slouching
-0.2227,0.0195,0.9219,slouching
-0.2305,0.0156,0.9180,slouching
-0.2109,0.0039,0.9297,slouching
-0.2305,0.0273,0.9141,slouching
-0.2031,0.0000,0.9219,slouching
-0.2109,-0.0117,0.9219,slouching
-0.2187,0.0156,0.9297,slouching
-0.2070,0.0039,0.9180,slouching
-0.2148,0.0039,0.9102,slouching
-0.1875,0.0039,0.9297,slouching
-0.1680,0.0469,0.9375,slouching
-0.2109,-0.0039,0.9180,slouching
-0.1992,-0.0039,0.9258,slouching
-0.1992,0.0039,0.9297,slouching
-0.1992,-0.0039,0.9219,slouching
-0.2031,0.0078,0.9180,slouching
-0.2031,0.0000,0.9219,slouching
-0.2031,0.0039,0.9258,slouching
-0.1992,0.0039,0.9180,slouching
-0.2070,0.0117,0.9219,slouching
-0.2070,0.0039,0.9219,slouching
-0.2070,0.0117,0.9258,slouching
-0.1875,-0.0039,0.9375,slouching
-0.2187,0.0117,0.9219,slouching
-0.1992,0.0078,0.9258,slouching
-0.1992,0.0039,0.9297,slouching
-0.2070,0.0039,0.9180,slouching
