x,y,z,label
-1.0000,-0.0156,0.1914,good_posture
-0.9961,-0.0234,0.1875,good_posture
-0.9922,-0.0156,0.1992,good_posture
-0.9961,-0.0156,0.1875,good_posture
-1.0000,-0.0117,0.1914,good_posture
-0.9922,-0.0234,0.1914,good_posture
-1.0000,-0.0195,0.1953,good_posture
-0.9961,-0.0117,0.1914,good_posture
-0.9922,-0.0195,0.1992,good_posture
-1.0000,-0.0195,0.1875,good_posture
-0.9883,-0.0195,0.1875,good_posture
-0.9961,-0.0234,0.1914,good_posture
-0.9961,-0.0156,0.1875,good_posture
-1.0000,-0.0156,0.1953,good_posture
-0.9961,-0.0117,0.1992,good_posture
-0.9961,-0.0195,0.1992,good_posture
-0.9961,-0.0195,0.1914,good_posture
-0.9961,-0.0195,0.1914,good_posture
-0.9961,-0.0078,0.1953,good_posture
-0.9922,-0.0156,0.1914,good_posture
-1.0000,-0.0234,0.1953,good_posture
-1.0000,-0.0234,0.1914,good_posture
-0.9961,-0.0156,0.1953,good_posture
-0.9922,-0.0234,0.2031,good_posture
-0.9961,-0.0117,0.1875,good_posture
-0.9961,-0.0039,0.1914,good_posture
-0.9922,-0.0234,0.1953,good_posture
-0.9922,-0.0313,0.1875,good_posture
-0.9961,-0.0273,0.1875,good_posture
-0.9922,-0.0156,0.1875,good_posture
-0.9922,-0.0234,0.1875,good_posture
-1.0000,-0.0234,0.1914,good_posture
-0.9961,-0.0234,0.1953,good_posture
-1.0000,-0.0078,0.1953,good_posture
-0.9961,-0.0156,0.1953,good_posture
-0.9922,-0.0117,0.1875,good_posture
-0.9883,-0.0195,0.1914,good_posture
-0.9922,-0.0156,0.1875,good_posture
-0.9961,-0.0117,0.1992,good_posture
-0.9922,-0.0078,0.1992,good_posture
-0.9961,-0.0039,0.2109,good_posture
-0.9922,-0.0234,0.1914,good_posture
-0.9961,-0.0234,0.1953,good_posture
-1.0000,-0.0039,0.2031,good_posture
-1.0039,-0.0078,0.1992,good_posture
-0.9961,-0.0156,0.1875,good_posture
-0.9961,-0.0117,0.1914,good_posture
-0.9922,-0.0156,0.1953,good_posture
-0.9883,-0.0156,0.1953,good_posture
-0.9922,-0.0195,0.1953,good_posture
-1.0000,-0.0234,0.1875,good_posture
-1.0000,-0.0156,0.1953,good_posture
-0.9922,-0.0078,0.1914,good_posture
